Posicion,Ticker,Fecha,Volumen
1,NVDA,2020-02-25,1055496000
2,NVDA,2020-03-24,1101644000
3,NVDA,2023-02-23,1117995000
4,NVDA,2020-02-28,1133252000
5,NVDA,2021-11-04,1153631000
6,NVDA,2019-01-29,1153932000
7,NVDA,2019-01-25,1154572000
8,NVDA,2023-08-24,1156044000
9,NVDA,2020-05-27,1175892000
10,NVDA,2022-09-01,1178865000
11,NVDA,2020-09-14,1201744000
12,NVDA,2020-09-04,1463684000
13,NVDA,2019-02-15,1516748000
14,NVDA,2023-05-25,1543911000
15,NVDA,2019-01-28,2511528000
