Fecha,Close,Ticker
2019-01-02,3.4055,NVDA
2019-01-02,20.674667,TSLA
2019-01-02,24.02,XLF
2019-01-02,31.01,XLK
2019-01-02,39.48,AAPL
2019-01-02,47.259998,IEMG
2019-01-02,52.734001,GOOGL
2019-01-02,58.66,EFA
2019-01-02,76.956497,AMZN
2019-01-02,101.120003,MSFT
2019-01-02,121.330002,GLD
2019-01-02,122.150002,TLT
2019-01-02,127.730003,VTI
2019-01-02,135.679993,META
2019-01-02,154.880005,QQQ
2019-01-02,229.990005,VOO
2019-01-02,244.899994,CSPX.L
2019-01-03,3.19975,NVDA
2019-01-03,20.024,TSLA
2019-01-03,23.48,XLF
2019-01-03,29.445,XLK
2019-01-03,35.547501,AAPL
2019-01-03,46.41,IEMG
2019-01-03,51.273499,GOOGL
2019-01-03,58.130001,EFA
2019-01-03,75.014,AMZN
2019-01-03,97.400002,MSFT
2019-01-03,122.43,GLD
2019-01-03,123.540001,TLT
2019-01-03,124.769997,VTI
2019-01-03,131.740005,META
2019-01-03,149.820007,QQQ
2019-01-03,224.5,VOO
2019-01-03,241.300003,CSPX.L
2019-01-04,3.40475,NVDA
2019-01-04,21.179333,TSLA
2019-01-04,24.26,XLF
2019-01-04,30.75,XLK
2019-01-04,37.064999,AAPL
2019-01-04,47.84,IEMG
2019-01-04,53.9035,GOOGL
2019-01-04,59.91,EFA
2019-01-04,78.769501,AMZN
2019-01-04,101.93,MSFT
2019-01-04,121.440002,GLD
2019-01-04,122.110001,TLT
2019-01-04,128.899994,VTI
2019-01-04,137.949997,META
2019-01-04,156.229996,QQQ
2019-01-04,231.910004,VOO
2019-01-04,246.139999,CSPX.L
2019-01-07,3.585,NVDA
2019-01-07,22.330667,TSLA
2019-01-07,24.290001,XLF
2019-01-07,31.025,XLK
2019-01-07,36.982498,AAPL
2019-01-07,47.950001,IEMG
2019-01-07,53.796001,GOOGL
2019-01-07,60.139999,EFA
2019-01-07,81.475502,AMZN
2019-01-07,102.059998,MSFT
2019-01-07,121.75,TLT
2019-01-07,121.860001,GLD
2019-01-07,130.199997,VTI
2019-01-07,138.050003,META
2019-01-07,158.089996,QQQ
2019-01-07,233.649994,VOO
2019-01-07,249.259995,CSPX.L
2019-01-08,3.49575,NVDA
2019-01-08,22.356667,TSLA
2019-01-08,24.309999,XLF
2019-01-08,31.285,XLK
2019-01-08,37.6875,AAPL
2019-01-08,48.07,IEMG
2019-01-08,54.268501,GOOGL
2019-01-08,60.529999,EFA
2019-01-08,82.829002,AMZN
2019-01-08,102.800003,MSFT
2019-01-08,121.43,TLT
2019-01-08,121.529999,GLD
2019-01-08,131.539993,VTI
2019-01-08,142.529999,META
2019-01-08,159.520004,QQQ
2019-01-08,235.919998,VOO
2019-01-08,249.479996,CSPX.L
2019-01-09,3.5645,NVDA
2019-01-09,22.568666,TSLA
2019-01-09,24.43,XLF
2019-01-09,31.690001,XLK
2019-01-09,38.327499,AAPL
2019-01-09,48.939999,IEMG
2019-01-09,54.0825,GOOGL
2019-01-09,61.209999,EFA
2019-01-09,82.971001,AMZN
2019-01-09,104.269997,MSFT
2019-01-09,121.239998,TLT
2019-01-09,122.309998,GLD
2019-01-09,132.160004,VTI
2019-01-09,144.229996,META
2019-01-09,160.820007,QQQ
2019-01-09,237.009995,VOO
2019-01-09,252.899994,CSPX.L
2019-01-10,3.63075,NVDA
2019-01-10,22.997999,TSLA
2019-01-10,24.440001,XLF
2019-01-10,31.83,XLK
2019-01-10,38.450001,AAPL
2019-01-10,49.27,IEMG
2019-01-10,53.941502,GOOGL
