Date,Open,High,Low,Close,Volume
2019-01-02,242.17999267578125,245.58999633789062,240.00999450683594,244.89999389648438,58019
2019-01-03,241.8800048828125,243.72000122070312,239.42999267578125,241.3000030517578,287542
2019-01-04,241.75999450683594,246.8000030517578,241.5,246.13999938964844,86487
2019-01-07,248.32000732421875,249.50999450683594,246.8000030517578,249.25999450683594,497565
2019-01-08,249.72000122070312,252.32000732421875,249.25999450683594,249.47999572753906,123117
2019-01-09,251.97999572753906,253.25,251.6999969482422,252.89999389648438,79492
2019-01-10,251.72000122070312,253.07000732421875,250.47000122070312,253.07000732421875,42799
2019-01-11,253.7100067138672,254.0800018310547,252.1999969482422,253.24000549316406,77772
2019-01-14,251.63999938964844,253.00999450683594,251.25999450683594,252.7100067138672,88689
2019-01-15,253.8000030517578,255.0,252.57000732421875,254.4199981689453,150342
2019-01-16,255.74000549316406,256.70001220703125,255.08999633789062,256.489990234375,92164
2019-01-17,254.44000244140625,256.4599914550781,254.1699981689453,256.4599914550781,81469
2019-01-18,258.3500061035156,261.0899963378906,258.2799987792969,260.9800109863281,72105
2019-01-21,261.0,261.0,259.8999938964844,260.4800109863281,32368
2019-01-22,259.5400085449219,260.1000061035156,258.5299987792969,258.8900146484375,88801
2019-01-23,257.5400085449219,259.4599914550781,257.1000061035156,257.5199890136719,57777
2019-01-24,258.07000732421875,259.07000732421875,257.5,258.05999755859375,60330
2019-01-25,259.17999267578125,261.32000732421875,259.1000061035156,260.8500061035156,54847
2019-01-28,259.7699890136719,259.7699890136719,257.1300048828125,257.8399963378906,346240
2019-01-29,257.8999938964844,259.4200134277344,257.5,258.07000732421875,73960
2019-01-30,258.69000244140625,260.3500061035156,258.6600036621094,260.29998779296875,82269
2019-01-31,263.1199951171875,264.2799987792969,262.1199951171875,264.2799987792969,164740
2019-02-01,265.17999267578125,265.9200134277344,264.07000732421875,265.3299865722656,195172
2019-02-04,264.7200012207031,265.5,264.20001220703125,265.5,44356
2019-02-05,266.29998779296875,268.0199890136719,266.1499938964844,267.5199890136719,130436
2019-02-06,267.1000061035156,267.9700012207031,266.760009765625,267.42999267578125,134425
2019-02-07,266.6400146484375,266.9700012207031,263.4599914550781,263.4599914550781,200837
2019-02-08,263.760009765625,264.42999267578125,262.75,262.8500061035156,57080
2019-02-11,265.04998779296875,266.3399963378906,264.8800048828125,265.2900085449219,37342
2019-02-12,267.0,268.6700134277344,266.7699890136719,268.42999267578125,94865
2019-02-13,269.6000061035156,270.54998779296875,269.1400146484375,269.32000732421875,92951
2019-02-14,270.5400085449219,270.6099853515625,267.760009765625,268.44000244140625,44059
2019-02-15,267.69000244140625,271.70001220703125,267.6300048828125,271.239990234375,76587
2019-02-18,272.0299987792969,272.260009765625,271.7799987792969,272.1499938964844,39604
2019-02-19,272.1199951171875,272.2200012207031,271.1300048828125,272.1000061035156,38733
2019-02-20,272.20001220703125,272.94000244140625,271.9100036621094,272.7300109863281,76406
2019-02-21,273.2699890136719,273.6499938964844,271.6099853515625,272.0,247277
2019-02-22,272.25,273.7900085449219,272.1700134277344,273.70001220703125,54299
2019-02-25,274.4800109863281,275.8399963378906,274.3900146484375,275.5199890136719,56062
2019-02-26,273.5199890136719,274.5899963378906,273.0899963378906,274.510009765625,79328
2019-02-27,273.1400146484375,273.70001220703125,272.20001220703125,272.95001220703125,94155
2019-02-28,272.92999267578125,273.8299865722656,272.8500061035156,273.6600036621094,52242
2019-03-01,274.30999755859375,275.3800048828125,273.8699951171875,273.8699951171875,32867
2019-03-04,276.0199890136719,276.2799987792969,273.739990234375,273.739990234375,141324
2019-03-05,273.9800109863281,274.4800109863281,273.0400085449219,273.8599853515625,69707
2019-03-06,273.17999267578125,273.8500061035156,272.2699890136719,272.5400085449219,83841
2019-03-07,271.0799865722656,272.2300109863281,268.9599914550781,270.0400085449219,65720
2019-03-08,268.5199890136719,269.0199890136719,267.1700134277344,268.0299987792969,63953
2019-03-11,269.9599914550781,272.510009765625,269.5299987792969,272.2300109863281,26690
2019-03-12,273.8399963378906,274.5400085449219,272.8299865722656,274.17999267578125,60269
2019-03-13,273.7900085449219,276.5,273.7799987792969,276.07000732421875,94606
2019-03-14,276.20001220703125,276.760009765625,275.19000244140625,275.8999938964844,41365
2019-03-15,276.0899963378906,277.6400146484375,275.8299865722656,277.4800109863281,70838
2019-03-18,277.32000732421875,278.30999755859375,277.1199951171875,277.2799987792969,33259
2019-03-19,278.5,279.92999267578125,278.5,279.55999755859375,44673
2019-03-20,278.1400146484375,278.3999938964844,276.2900085449219,276.2900085449219,35533
2019-03-21,276.010009765625,279.8800048828125,275.82000732421875,279.1199951171875,30320
2019-03-22,280.4599914550781,280.5,275.3500061035156,275.989990234375,76468
2019-03-25,274.25,275.7699890136719,273.6199951171875,274.5799865722656,78467
2019-03-26,275.8699951171875,277.75,275.3900146484375,276.44000244140625,58819
2019-03-27,277.3800048828125,277.3800048828125,273.80999755859375,274.7200012207031,71667
2019-03-28,274.8500061035156,276.8399963378906,274.8500061035156,275.29998779296875,42350
2019-03-29,277.1499938964844,278.1499938964844,276.7200012207031,277.760009765625,223242
2019-04-01,280.04998779296875,280.82000732421875,279.8999938964844,280.6600036621094,84250
2019-04-02,281.20001220703125,281.80999755859375,280.739990234375,281.2300109863281,49537
2019-04-03,282.54998779296875,283.25,282.0799865722656,283.1400146484375,64431
2019-04-04,282.1499938964844,282.9599914550781,281.95001220703125,282.20001220703125,20989
2019-04-05,283.3500061035156,284.04998779296875,283.0,283.80999755859375,88229
2019-04-08,283.67999267578125,283.9200134277344,282.989990234375,283.80999755859375,34146
2019-04-09,283.9800109863281,284.2200012207031,282.5799865722656,283.0,80689
2019-04-10,283.1600036621094,283.5899963378906,282.8900146484375,283.4200134277344,109883
2019-04-11,284.05999755859375,284.5199890136719,283.5899963378906,283.8800048828125,77653
