Metodo de ordenamiento,Complejidad,Tamano,Tiempo (s)
TimSort,O(n log n),20944,0.04642
Comb Sort,O(n log n),20944,0.109723
Selection Sort,O(n^2),5000,1.562957
Tree Sort,O(n log n),20944,3.252143
Pigeonhole Sort,O(n + range),20944,0.01276
Bucket Sort,O(n + k),20944,0.011647
QuickSort,O(n log n),20944,3.225462
HeapSort,O(n log n),20944,0.114114
Bitonic Sort,O(n log^2 n),8192,0.124564
Gnome Sort,O(n^2),5000,0.002869
Binary Insertion Sort,O(n^2),5000,0.00975
Radix Sort,O(nk),20944,0.073104
