Date,VOO,CSPX.L,QQQ,VTI,EFA,IEMG,GLD,TLT,XLF,XLK,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA
2019-01-02,229.99000549316406,244.89999389648438,154.8800048828125,127.7300033569336,58.65999984741211,47.2599983215332,121.33000183105469,122.1500015258789,24.020000457763672,31.010000228881836,39.47999954223633,101.12000274658203,52.73400115966797,76.95649719238281,135.67999267578125,3.4054999351501465,20.674667358398438
2019-01-03,224.5,241.3000030517578,149.82000732421875,124.7699966430664,58.130001068115234,46.40999984741211,122.43000030517578,123.54000091552734,23.479999542236328,29.44499969482422,35.54750061035156,97.4000015258789,51.27349853515625,75.01399993896484,131.74000549316406,3.1997499465942383,20.02400016784668
2019-01-04,231.91000366210938,246.13999938964844,156.22999572753906,128.89999389648438,59.90999984741211,47.84000015258789,121.44000244140625,122.11000061035156,24.260000228881836,30.75,37.064998626708984,101.93000030517578,53.903499603271484,78.76950073242188,137.9499969482422,3.404750108718872,21.179332733154297
2019-01-07,233.64999389648438,249.25999450683594,158.08999633789062,130.1999969482422,60.13999938964844,47.95000076293945,121.86000061035156,121.75,24.290000915527344,31.024999618530273,36.98249816894531,102.05999755859375,53.79600143432617,81.47550201416016,138.0500030517578,3.5850000381469727,22.33066749572754
2019-01-08,235.9199981689453,249.47999572753906,159.52000427246094,131.5399932861328,60.529998779296875,48.06999969482422,121.52999877929688,121.43000030517578,24.309999465942383,31.28499984741211,37.6875,102.80000305175781,54.26850128173828,82.8290023803711,142.52999877929688,3.4957499504089355,22.356666564941406
2019-01-09,237.00999450683594,252.89999389648438,160.82000732421875,132.16000366210938,61.209999084472656,48.939998626708984,122.30999755859375,121.23999786376953,24.43000030517578,31.690000534057617,38.32749938964844,104.2699966430664,54.08250045776367,82.97100067138672,144.22999572753906,3.564500093460083,22.568666458129883
2019-01-10,238.0,253.07000732421875,161.27999877929688,132.80999755859375,61.45000076293945,49.27000045776367,121.58999633789062,120.45999908447266,24.440000534057617,31.829999923706055,38.45000076293945,103.5999984741211,53.94150161743164,82.81099700927734,144.1999969482422,3.6307499408721924,22.99799919128418
2019-01-11,237.88999938964844,253.24000549316406,160.69000244140625,132.83999633789062,61.029998779296875,49.029998779296875,121.80000305175781,120.93000030517578,24.5,31.770000457763672,38.0724983215332,102.80000305175781,53.2234992980957,82.02799987792969,143.8000030517578,3.720750093460083,23.150667190551758
2019-01-14,236.5800018310547,252.7100067138672,159.27000427246094,132.0,60.75,48.650001525878906,122.08999633789062,120.4800033569336,24.670000076293945,31.475000381469727,37.5,102.05000305175781,52.57550048828125,80.8604965209961,145.38999938964844,3.760999917984009,22.293333053588867
2019-01-15,239.35000610351562,254.4199981689453,162.3800048828125,133.44000244140625,61.06999969482422,49.0099983215332,121.87999725341797,120.04000091552734,24.889999389648438,31.950000762939453,38.26750183105469,105.01000213623047,54.32550048828125,83.72799682617188,148.9499969482422,3.7467501163482666,22.961999893188477
2019-01-16,239.8800048828125,256.489990234375,162.35000610351562,133.82000732421875,61.2400016784668,49.54999923706055,122.2699966430664,120.16000366210938,25.420000076293945,31.979999542236328,38.73500061035156,105.37999725341797,54.47549819946289,84.18900299072266,147.5399932861328,3.7209999561309814,23.06999969482422
2019-01-17,241.6699981689453,256.4599914550781,163.6300048828125,134.89999389648438,61.459999084472656,49.709999084472656,122.11000061035156,120.19000244140625,25.559999465942383,32.185001373291016,38.96500015258789,106.12000274658203,54.95600128173828,84.66100311279297,148.3000030517578,3.7929999828338623,23.15399932861328
2019-01-18,244.9199981689453,260.9800109863281,165.25,136.64999389648438,62.08000183105469,50.02000045776367,121.0199966430664,119.55999755859375,26.0,32.67499923706055,39.20500183105469,107.70999908447266,55.3650016784668,84.80999755859375,150.0399932861328,3.9232499599456787,20.150667190551758
2019-01-22,241.66000366210938,258.8900146484375,161.94000244140625,134.77999877929688,61.119998931884766,49.13999938964844,121.44999694824219,120.37000274658203,25.700000762939453,32.125,38.32500076293945,105.68000030517578,53.93149948120117,81.6084976196289,147.57000732421875,3.719249963760376,19.92799949645996
2019-01-23,242.02000427246094,257.5199890136719,162.14999389648438,134.9199981689453,61.400001525878906,49.599998474121094,121.27999877929688,120.31999969482422,25.729999542236328,32.23500061035156,38.47999954223633,106.70999908447266,54.22050094604492,82.0009994506836,144.3000030517578,3.7322499752044678,19.172666549682617
2019-01-24,242.25999450683594,258.05999755859375,163.1999969482422,135.1999969482422,61.470001220703125,50.029998779296875,121.08999633789062,121.11000061035156,25.790000915527344,32.505001068115234,38.17499923706055,106.19999694824219,54.20000076293945,82.74649810791016,145.8300018310547,3.946000099182129,19.43400001525879
