Date,EFA,CSPX.L,Euclidean,Pearson,Cosine,DTW
2019-08-02,-0.008869,-0.030206,,,,
2019-08-05,-0.024961,-0.01814,,,,
2019-08-06,0.006762,-0.006217,,,,
2019-08-07,0.003838,0.003484,,,,
2019-08-08,0.009718,0.021785,,,,
2019-08-09,-0.006942,-0.005859,,,,
2019-08-12,-0.007944,-0.004045,,,,
2019-08-13,0.009449,0.009244,,,,
2019-08-14,-0.027447,-0.017312,,,,
2019-08-15,0.003426,-0.007308,,,,
2019-08-16,0.012031,0.014439,,,,
2019-08-19,0.006104,0.014128,,,,
2019-08-20,-0.003353,-0.002835,,,,
2019-08-21,0.007049,0.003224,,,,
2019-08-22,-0.001909,-0.003559,,,,
2019-08-23,-0.012432,-0.013352,,,,
2019-08-27,0.007424,0.000316,,,,
2019-08-28,0.0,0.001792,,,,
2019-08-29,0.008651,0.01389,,,,
2019-08-30,0.003971,-0.000623,,,,
2019-09-03,-0.001898,-0.006058,,,,
2019-09-04,0.014107,0.010274,,,,
2019-09-05,0.005314,0.016582,,,,
2019-09-06,0.003265,6.8e-05,,,,
2019-09-09,0.002944,0.001255,,,,
2019-09-10,0.0017,-0.008331,,,,
2019-09-11,0.005553,0.010587,,,,
2019-09-12,0.005829,0.006894,,,,
2019-09-13,0.005643,0.000738,,,,
2019-09-16,-0.008948,-0.005399,,,,
2019-09-17,0.003367,0.000641,,,,
2019-09-18,-0.00122,-0.000607,,,,
2019-09-19,0.003359,0.00816,,,,
2019-09-20,-0.002283,-0.003378,,,,
2019-09-23,-0.002593,-0.005805,,,,
2019-09-24,-0.003823,-0.00054,,,,
2019-09-25,-0.002917,-0.00618,,,,
2019-09-26,0.003695,-0.001427,,,,
2019-09-27,-0.003375,0.005581,,,,
2019-09-30,0.003694,-0.002064,,,,
2019-10-01,-0.009814,-0.005155,,,,
2019-10-02,-0.020443,-0.026213,,,,
2019-10-03,0.00664,0.002135,,,,
2019-10-04,0.007853,0.015509,,,,
2019-10-07,-0.001247,0.006123,,,,
2019-10-08,-0.009362,-0.019111,,,,
2019-10-09,0.007245,0.005611,,,,
2019-10-10,0.007037,0.011507,,,,
2019-10-11,0.017857,0.015899,,,,
2019-10-14,-0.004119,-0.007319,,,,
2019-10-15,0.011642,0.00914,,,,
2019-10-16,0.001514,-0.002391,,,,
2019-10-17,0.002419,0.001924,,,,
2019-10-18,-0.000453,-0.001415,,,,
2019-10-21,0.005432,0.003913,,,,
2019-10-22,-0.002401,0.002487,,,,
2019-10-23,0.005416,-0.003385,,,,
2019-10-24,0.001796,0.003868,,,,
2019-10-25,0.001046,0.00459,,,,
2019-10-28,0.004476,0.004035,,,,
2019-10-29,-0.000297,0.002358,,,,
2019-10-30,0.00416,-0.002684,,,,
2019-10-31,-0.002368,-0.002957,,,,
2019-11-01,0.008899,0.010664,,,,
2019-11-04,0.005146,0.006892,,,,
2019-11-05,-0.001901,-0.001146,,,,
2019-11-06,-0.00044,-0.000557,,,,
2019-11-07,0.003079,0.006233,,,,
2019-11-08,-0.000585,-0.00326,,,,
2019-11-11,-0.001316,-0.000491,,,,
2019-11-12,0.000439,0.005988,,,,
2019-11-13,-0.003513,-0.002863,,,,
2019-11-14,-0.002791,-9.8e-05,,,,
2019-11-15,0.006334,0.008124,,,,
2019-11-18,0.001171,0.002104,,,,
2019-11-19,-0.001316,-0.000226,,,,
2019-11-20,-0.006295,-0.001421,,,,
2019-11-21,-0.001326,-0.005143,,,,
2019-11-22,0.002803,0.001203,,,,
2019-11-25,0.007943,0.008736,,,,
2019-11-26,-0.000584,0.00264,,,,
2019-11-27,0.002629,0.003115,,,,
2019-11-29,-0.006991,-0.000896,,,,
2019-12-02,-0.005133,-0.00974,,,,
2019-12-03,-0.003686,-0.01155,,,,
2019-12-04,0.009174,0.012995,,,,
2019-12-05,-0.001906,-0.00252,,,,
2019-12-06,0.009108,0.013087,,,,
2019-12-09,-0.005241,-0.001503,,,,
2019-12-10,0.000439,-0.001985,,,,
2019-12-11,0.005266,-0.00016,,,,
2019-12-12,0.006694,0.00751,,,,
2019-12-13,0.006938,0.000255,,,,
2019-12-16,-0.000574,0.011146,,,,
2019-12-17,-0.005745,-0.000882,,,,
2019-12-18,-0.0013,0.001356,,,,
2019-12-19,0.0,0.001574,,,,
2019-12-20,0.000723,0.007323,,,,
2019-12-23,0.00159,0.001186,,,,
2019-12-24,-0.00101,-3.1e-05,,,,
2019-12-27,0.006068,0.005423,,,,
2019-12-30,-0.007467,-0.007067,,,,
2019-12-31,0.00463,-9.4e-05,,,,
2020-01-02,0.010081,0.004465,,,,
2020-01-03,-0.012404,0.000995,,,,
2020-01-06,0.003898,-0.001521,,,,
2020-01-07,-0.002732,0.002395,,,,
2020-01-08,0.002884,0.001831,,,,
2020-01-09,0.0023,0.007773,,,,
2020-01-10,-0.00373,0.001076,,,,
2020-01-13,0.005184,0.000952,,,,
2020-01-14,0.001003,0.002453,,,,
2020-01-15,0.0,0.002967,,,,
2020-01-16,0.00415,0.002654,,,,
2020-01-17,0.002993,0.005324,,,,
2020-01-21,-0.007957,0.00115,,,,
2020-01-22,0.002005,0.001239,,,,
2020-01-23,-0.00243,-0.006701,,,,
2020-01-24,-0.004299,0.001793,,,,
2020-01-27,-0.020722,-0.020174,,,,
2020-01-28,0.009405,0.009629,,,,
2020-01-29,0.000146,0.00184,,,,
2020-01-30,-0.000873,-0.008632,,,,
2020-01-31,-0.0169,-0.005002,,,,
2020-02-03,0.002371,0.00422,,,,
2020-02-04,0.016706,0.015759,,,,
2020-02-05,0.009597,0.005506,,,,
2020-02-06,0.002737,0.00717,,,,
2020-02-07,-0.00948,-0.001682,,,,
2020-02-10,0.00203,-3e-05,,,,
2020-02-11,0.006802,0.007884,,,,
2020-02-12,0.00345,0.003971,,,,
2020-02-13,-0.007019,0.000624,,,,
2020-02-14,-0.001731,8.9e-05,,,,
2020-02-18,-0.006358,-0.005349,,,,
2020-02-19,0.003345,0.008664,,,,
2020-02-20,-0.005943,-0.012203,,,,
2020-02-21,-0.004666,-0.00054,,,,
2020-02-24,-0.039994,-0.030661,,,,
2020-02-25,-0.016481,-0.016342,,,,
2020-02-26,0.001241,-0.005727,,,,
2020-02-27,-0.029599,-0.037785,,,,
2020-02-28,-0.006068,-0.043215,,,,
2020-03-02,0.012853,0.032174,,,,
2020-03-03,-0.00809,0.012721,,,,
2020-03-04,0.029906,0.003551,,,,
2020-03-05,-0.026553,0.003736,,,,
2020-03-06,-0.014994,-0.038457,,,,
2020-03-09,-0.077571,-0.051097,,,,
2020-03-10,0.036868,-0.016494,,,,
2020-03-11,-0.050965,0.008076,,,,
2020-03-12,-0.109902,-0.093468,,,,
2020-03-13,0.060533,0.005295,,,,
2020-03-16,-0.103194,-0.005504,,,,
2020-03-17,0.048683,-0.007327,,,,
2020-03-18,-0.057275,-0.050702,,,,
2020-03-19,0.015562,0.007775,,,,
2020-03-20,-0.012385,-0.005367,,,,
2020-03-23,-0.01169,-0.059312,,,,
2020-03-24,0.084731,0.088102,,,,
2020-03-25,0.032514,0.031012,,,,
2020-03-26,0.044739,0.035951,,,,
2020-03-27,-0.028487,-0.016735,,,,
2020-03-30,0.020242,0.018823,,,,
2020-03-31,-0.008715,0.014242,,,,
2020-04-01,-0.044332,-0.050626,,,,
2020-04-02,0.019573,-4e-05,,,,
2020-04-03,-0.022845,-0.004757,,,,
2020-04-06,0.053045,0.045951,,,,
2020-04-07,0.005597,0.043702,,,,
2020-04-08,0.008163,-0.002134,,,,
2020-04-09,0.022635,0.026807,,,,
2020-04-14,0.008098,0.011096,,,,
2020-04-15,-0.031239,-0.015237,,,,
2020-04-16,0.000553,0.007357,,,,
2020-04-17,0.026519,0.016183,,,,
2020-04-20,-0.014891,0.0068,,,,
2020-04-21,-0.019486,-0.043603,,,,
2020-04-22,0.016902,0.020234,,,,
2020-04-23,-0.003105,0.014525,,,,
2020-04-24,0.011543,-0.011348,,,,
2020-04-27,0.013222,0.026853,,,,
2020-04-28,0.007508,0.002855,,,,
2020-04-29,0.025018,0.017813,,,,
2020-04-30,-0.020772,-0.006175,,,,
2020-05-01,-0.021743,-0.025367,,,,
2020-05-04,-0.000361,-0.007819,,,,
2020-05-05,0.001808,0.026162,,,,
2020-05-06,-0.006496,-0.008233,,,,
2020-05-07,0.015074,0.007953,,,,
2020-05-11,0.016103,0.011143,,,,
2020-05-12,-0.012678,0.001677,,,,
2020-05-13,-0.007669,-0.029895,,,,
2020-05-14,-0.009525,-0.012644,,,,
2020-05-15,0.000907,0.010308,,,,
2020-05-18,0.040428,0.043638,,,,
2020-05-19,-0.013765,0.001353,,,,
2020-05-20,0.020848,0.007061,,,,
2020-05-21,-0.011596,-0.01107,,,,
2020-05-22,-0.002802,-0.002612,,,,
2020-05-26,0.028622,0.023842,,,,
2020-05-27,0.01212,-0.005481,,,,
2020-05-28,0.009445,0.019373,,,,
